skill;course_name;link;platform
python;Introduction to Python Programming;https://www.udacity.com//course/introduction-to-python--ud1110;Udacity
java;Introduction to Java Programming for Online Learners;https://www.udemy.com/learning-to-program-in-java-a-supplement-for-online-academic-learners/;Udemy
c#;C# masterclass;udemy.com/course/complete-csharp-masterclass/;Udemy
rest apis;APIs;https://www.coursera.org/learn/apis;Coursera
database;Introduction to Database Queries;https://maharatech.gov.eg/course/view.php?id=740;mahara tech
sql; Relational Database and SQL;https://www.udemy.com/course/complete-microsoft-sql-masterclass-beginner-advanced/?couponCode=CP260518ALMXLD;Udemy
docker;Introduction to Docker : The Basics;https://www.udemy.com/course/learn-docker/?couponCode=CP260518ALMXLD;Udemy
git;Intro to Git;https://www.udemy.com/intro-to-git/;Udemy
aws;AWS Fundamentals;https://www.coursera.org/specializations/aws-fundamentals;Coursera
microservices;Building Scalable Java Microservices with Spring Boot and Spring Cloud;https://www.coursera.org/learn/google-cloud-java-spring;Coursera
security;Introduction to Cybersecurity for Business;https://www.coursera.org/learn/intro-cyber-security-business;Coursera
html;The Complete Guide to HTML;https://www.udemy.com/course/the-complete-guide-to-html/?couponCode=CP260518ALMXLD;Udemy
css;CSS - The Complete Guide;https://www.udemy.com/course/css-the-complete-guide-incl-flexbox-grid-sass/;Udemy
javascript;JavaScript Basics Web Development Building Blocks;https://www.udemy.com/javascript-basics-web-development-building-blocks/;Udemy
nosql;NoSQL Databases For Beginners;udemy.com/course/nosql-databases-for-beginners/;Udemy
unit testing;JavaScript Unit Testing - The Practical Guide;https://www.udemy.com/course/javascript-unit-testing-the-practical-guide/;Udemy
windows;The Complete Windows 10 Course. Beginner and Beyond;https://www.udemy.com/course/windows-10-computer-course/?utm_campaign=BG-Search_DSA_Beta_Prof_la.EN_cc.ROW-English&utm_source=bing&utm_medium=paid-search&portfolio=Bing-ROW-English&utm_audience=mx&utm_tactic=nb&utm_term=Career+Development&utm_content=o&funnel=&test=&msclkid=ab0ea1373bcc18cb068dc875cb12b90e&couponCode=CM251217G2;Udemy
linux;Introduction to Linux;https://www.edx.org/course/introduction-to-linux;edX
networking;Introduction to Open Source Networking Technologies;https://www.edx.org/course/introduction-to-open-source-networking-technologie;edX
customer support;Create Customer Support Data with Google Sheets;https://www.coursera.org/learn/create-customer-support-data-with-google-sheets;Coursera
customer service;Creating a Customer Service Survey Using Google Forms;https://www.coursera.org/learn/branding-and-cx;Coursera
bootstrap;PSD to Bootstrap 3 for Beginners using HTML & CSS;https://www.udemy.com/psd-to-bootstrap/;Udemy
c++;Introduction to Pointers and Memory Management in C/C++;https://www.coursera.org/specializations/coding-for-everyone;Coursera
data structures;Data Structures and Performance;https://www.coursera.org/learn/data-structures-optimizing-performance;Coursera
algorithms;Advanced Trading Algorithms;https://www.coursera.org/learn/algorithms-part1;Coursera
cloud;Introduction to Cloud computing ;https://www.udemy.com/course/introduction-to-cloud-computing-on-amazon-aws-for-beginners/;Udemy
design patterns;Software Design and Architecture Specialization;https://www.coursera.org/specializations/software-design-architecture;Coursera
network security;Network Security;https://www.coursera.org/specializations/google-network-security;Coursera
bash;Introduction to Bash Shell Scripting;https://www.coursera.org/learn/introduction-to-bash-shell-scripting;Coursera
cloud security;AWS: Getting Started with Cloud Security;https://www.edx.org/course/aws-getting-started-with-cloud-security;edX
sales;Fundamentals of Sales and Marketing, with Goldman Sachs 10,000 Women;https://www.coursera.org/learn/10k-women-6;Coursera
crm;Introduction to CRM with HubSpot;https://www.coursera.org/learn/introduction-to-crm-with-hubspot;Coursera
market research;Market Research and Consumer Behavior;https://www.coursera.org/learn/market-research;Coursera
negotiation;Fundamentals of Negotiation, with Goldman Sachs 10,000 Women;https://www.coursera.org/learn/10k-women-10;Coursera
communication;Business Communication;https://www.edx.org/course/business-communication-3;edX
business analysis;Introduction to Business Analysis Using Spreadsheets: Basics;https://www.coursera.org/learn/business-analysis-using-spreadsheets;Coursera
it strategy;Customer-Centric IT Strategy;https://www.coursera.org/learn/uva-darden-customer-centric-it-strategy;Coursera
project management;Introduction to Project Management;https://www.edx.org/course/introduction-to-project-management;edX
budgeting;Basics of Finance and Budgeting;https://www.udemy.com/basics-of-finance-and-budgeting/;Udemy
firebase;learn firebase;https://www.coursera.org/learn/learn-firebase;Coursera
xml;XML For Absolute Beginners: Learn to create your own tags;https://www.udemy.com/xml-for-absolute-beginners-learn-to-create-your-own-tags/;Udemy
selenium;Advanced TestNG Framework and Integration with Selenium;https://www.coursera.org/learn/Advanced-testng-framework-integration-with-selenium;Coursera
jira;Agile with Atlassian Jira;https://www.coursera.org/learn/agile-atlassian-jira;Coursera
api testing;Apply API Testing & Automation with Postman Specialization;https://www.coursera.org/specializations/postman-api-testing-automation-specialization;Coursera
postman;Postman - Intro to APIs (without coding);https://www.udemy.com/course/introduction-to-postman-a-beginners-guide/?srsltid=AfmBOopab5L8_4VyN2gatsaTPVyaThGYI-WW9wL8eUPoTWYReDOsRA8Q;Udemy
etl;ETL Developer - (MySQL, Data Migration ,MS SQL Server, SSIS);https://www.udemy.com/course/etl-developer-mysql-data-migration-ms-sql-server-ssis/?utm_campaign=Search_DSA_Beta_Prof_la.EN_cc.ROW-English_Subs&utm_source=google&utm_medium=paid-search&portfolio=ROW-English&utm_audience=mx&utm_tactic=nb&utm_term=_._ag_185568238764_._ad_769543047744_._kw_&utm_content=g&funnel=&test=&gad_source=1&gad_campaignid=22894903173&gbraid=0AAAAADROdO31FNKf6MoF1RNG9Z0FYcbgX&gclid=CjwKCAjwt7XQBhBkEiwAtStpp4TAz3pKY4ImNpoU6NXZKoD4wIp4src9yo3o6iruYiDjPc-N9CiBlBoCSfAQAvD_BwE&couponCode=CP260518ALMXLD;Udemy
spark;Spark and Python for Big Data with PySpark Specialization;https://www.coursera.org/specializations/spark-python-big-data-analysis-pyspark;Coursera
big data;Big Data Integration and Processing;https://www.coursera.org/learn/big-data-integration-processing;Coursera
kubernetes;Fundamentals of Kubernetes Deployment;https://www.coursera.org/learn/kubernetes-deployment;Coursera
jenkins;Introduction to Jenkins;https://www.edx.org/course/introduction-to-jenkins;edX
terraform;Terraform: The Complete Guide from Beginner to Expert;https://www.udemy.com/course/mastering-terraform-beginner-to-expert/;Udemy
kotlin;Kotlin for Java Developers;https://www.coursera.org/learn/kotlin-for-java-developers;Coursera
machine learning;Introduction to Machine Learning;https://www.coursera.org/learn/machine-learning-duke;Coursera
deep learning;Introduction to Deep Learning & Neural Networks with Keras;https://www.coursera.org/learn/introduction-to-deep-learning-with-keras;Coursera
statistics;1 - Concepts of Statistics For Beginners Step by Step;https://www.coursera.org/learn/stanford-statistics;Coursera
pandas;Pandas for Data Science;https://www.coursera.org/learn/pandas-data-science;Coursera
numpy;Logistic Regression with Python and Numpy;https://www.coursera.org/learn/packt-intro-to-numpy-ftdg2;Coursera
azure;Build Random Forests in R with Azure ML Studio;https://www.coursera.org/learn/microsoft-azure-cloud-services;Coursera
gcp;Introduction to Trading, Machine Learning & GCP;https://www.coursera.org/learn/introduction-trading-machine-learning-gcp;Coursera
cloud networking;Cloud Networking;https://www.coursera.org/learn/cloud-networking;Coursera
switching;Packet Switching Networks and Algorithms;https://www.coursera.org/projects/creating-routing-policies-handle-traffic-aws-route53;Coursera
tcp/ip;Introduction to TCP/IP;https://www.coursera.org/learn/tcpip;Coursera
project planning;Fundamentals of Project Planning and Management;https://www.coursera.org/learn/uva-darden-project-management;Coursera
agile;Agile Mindset Introduction;udemy.com/course/agile-project-management-agilepm-certification-masterclass/?couponCode=PMNVD1525&utm_campaign=Search_Keyword_Gamma_NonP_la.ES_cc.ROW-Spanish&utm_source=google&utm_medium=paid-search&portfolio=ROW-Spanish&utm_audience=mx&utm_tactic=nb&utm_term=_._ag_167955707751_._ad_762942537566_._kw_cursos%20en%20línea&utm_content=g&funnel=&test=&gad_source=1&gad_campaignid=21487757256&gbraid=0AAAAADROdO0N2XMFH4ZhESTPWBI03MZz3&gclid=Cj0KCQjwlLDQBhDjARIsAPlIefGK6_7JPAQ7y-JkiI677ECeHkyZ1yVMvCx9y4YmpIKDsuUU_H9xEDgaAs5PEALw_wcB;udemy
scrum;Scrum Master Certification Specialization;https://www.coursera.org/specializations/learnquest-certified-scrum-master;Coursera
risk management;Portfolio and Risk Management;https://www.coursera.org/learn/introduction-to-risk-management;Coursera
leadership;Fundamentals of Leadership, with Goldman Sachs 10,000 Women;https://www.udemy.com/course/leadershipmasterclass/;Udemy
xcode;Develop 6 Beginner iPhone Games with Swift and Xcode;https://www.udemy.com/course/develop-6-beginner-iphone-games-with-swift-and-xcode/;Udemy
uikit;UIKit Fundamentals;https://www.udacity.com//course/uikit-fundamentals--ud788;Udacity
swift;Swift for Beginners;https://www.udacity.com//course/swift-for-Beginners--ud1022;Udacity
wordpress;WordPress 2026: The Complete WordPress Website Course;https://www.udemy.com/course/complete-wp-course/;Udemy
plugins;Creating WordPress Plugins The Right Way;https://www.udemy.com/course/wordpress-plugin-development/;Udemy
themes;WordPress Theme Development from Scratch 2.0;https://www.udemy.com/course/advanced-wordpress-theme-development-with-bootstrap/;Udemy
mysql;Build CRUD Application - PHP & Mysql;https://www.udemy.com/build-crud-application-php-mysql/;Udemy
django;Django For Beginners;https://www.udemy.com/django-for-beginners/;Udemy
flask;Professional Python Web Development Using Flask;https://www.udemy.com/python-flask-course/;Udemy
nlp;Deep Learning NLP: Training GPT-2 from scratch;https://www.coursera.org/specializations/natural-language-processing;Coursera
rpa;RPA Lifecycle: Introduction, Discovery and Design;https://www.coursera.org/specializations/roboticprocessautomation;Coursera
uipath;RPA Developer with UiPath;https://www.coursera.org/learn/automation-techniques-in-rpa;Coursera
spring boot;Spring Boot Tutorial For Beginners;https://www.udemy.com/spring-boot-tutorial-for-beginners/;Udemy
gradle;Gradle Fundamentals;https://www.udemy.com/course/gradle-fundamentals/;Udemy
figma;Figma UI / UX Design Essentials Specialization;https://www.coursera.org/specializations/beginnerfigmauiuxdesignessentials;Coursera
adobe xd;User Experience Design Essentials - Adobe XD UI UX Design;https://www.udemy.com/course/ui-ux-web-design-using-adobe-xd;Udemy
prototyping;Figma Prototyping: A deep dive for UX/UI Designer;https://www.udemy.com/course/figma-prototyping-a-deep-dive-for-ux-ui-designer;Coursera
user research;Using Google Forms to Analyze User Research Data;https://www.coursera.org/learn/analyzing-user-data-in-google-forms;Coursera
.net;Learning Visual Basic .NET - A Guide To VB.NET Programming;https://www.udemy.com/course/learning-visual-basic-net;Coursera
workflows;Modern Web Development with SASS, Gulp, NPM & Web Workflows;https://www.udemy.com/modern-web-development-with-sass-gulp-npm-web-workflows/;Udemy
unity;Complete C# Unity 3D Game Development in Unity 6;https://www.udemy.com/course/unitycourse2/;Coursera
animation;3D Animation using Unity Timeline;https://www.udemy.com/course/3d-animation-using-unity-timeline;Coursera
sprint planning;Sprint Planning for Faster Agile Team Delivery;https://www.coursera.org/learn/sprint-planning-for-faster-agile-team-delivery;Coursera
data modeling;Data Modelling Essentials;https://www.coursera.org/learn/packt-9781835462980-yyp25-p3;Coursera
drupal;Complete Drupal 11 Development Course – For beginners 2026;https://www.udemy.com/course/complete-drupal-11-development-course-for-beginners-2026;Udemy
internal control;Internal Controls - Design, Implementation and Monitoring;https://www.udemy.com/course/internal-controls/;Udemy
reporting;Financial Reporting & Analysis: Complete Preparation;https://www.udemy.com/course/financial-reporting-analysis/;Udemy
compliance;Regulatory Compliance Specialization;https://www.coursera.org/specializations/regulatory-compliance;Coursera
opencv;Introduction to Computer Vision with Watson and OpenCV;https://www.coursera.org/learn/introduction-computer-vision-watson-opencv;Coursera
image processing;Image Processing with Python;https://www.udemy.com/course/complete-python-based-image-processing-and-computer-vision;Coursera
node.js;Introduction to Node.js for Beginners;https://www.udemy.com/introduction-to-nodejs-for-beginners/;Udemy
react;Introduction to Front-end Development with ReactJS;https://www.udemy.com/course/react-the-complete-guide-incl-redux;Coursera
vue;VueJS V1 Introduction to VueJS JavaScript Framework;https://www.udemy.com/vuejs-introduction-to-vuejs-javascript-framework/;Udemy
angular;Angular 2 & TypeScript Beginner Web Development;https://www.udemy.com/angular2/;Udemy
stored procedures;Stored Procedures Unpacked - Code in TSQL;https://www.udemy.com/course/stored-procedures-unpacked-learn-to-code-t-sql-stored-procs/?couponCode=CM251217G2;Udemy
ui5;Developing SAP UI5 apps using Fiori Elements (WebIDE & SBAS);https://www.udemy.com/course/sap-ui5-apps-using-fiori-elements/;Udemy
jetpack;Maintain Android Apps with Jetpack Architecture Components;https://www.udemy.com/course/maintain-android-apps-with-jetpack-architecture-components/;Udemy
ticketing;Airline Airfares & Ticketing Management;https://www.udemy.com/course/airline-airfares-ticketing-management/;Udemy
active directory;Active Directory and Windows Server 60+ Hour with Labs;https://www.udemy.com/course/complete-active-directory-9-hours-bootcamp/?couponCode=CM251217G2;Udemy
teamcenter;Teamcenter Application Administration;https://www.udemy.com/course/teamcenter-application-administration/;Udemy
power automate;Power Automate: Building and Managing Automated Workflows;https://www.coursera.org/learn/power-automate-building-and-managing-automated-workflows;Coursera
sap modules;SAP Business Analyst Professional Certificate;https://www.coursera.org/professional-certificates/sap-business-analyst;Coursera
android sdk;Introduction to Android Mobile Application Development;https://www.coursera.org/learn/introduction-to-android-mobile-application-development;Coursera
swiftui;Mastering iOS Development: Swift, SwiftUI, and Beyond;https://www.coursera.org/learn/mastering-ios-development-swift-swiftui-and-beyond;Coursera
winforms;Introduction to WinForms;https://www.udemy.com/course/introduction-to-winforms/;Udemy
abap;Learn SAP ABAP Fundamentals and Core Programming Concepts;https://www.coursera.org/learn/abap-fundamentals-and-core-programming;Coursera
cloud ai tools;Certified Cloud AI Solutions Architect (CCASA) Crash Course;https://www.udemy.com/course/certified-cloud-ai-solutions-architect-ccasa-aimloverview/?couponCode=CM251217G2;Udemy
